ENSG	WT1	WT2	WT3	KO1	KO2	KO3	Symbol
ENSMUSG00000086221	1	0	0	0	0	0	4930412B13Rik
ENSMUSG00000040466	597	412	550	278	431	492	Blvrb
ENSMUSG00000023186	1106	1444	1026	1192	2105	1018	Vwa5a
ENSMUSG00000003534	8409	4925	6001	4648	8220	6226	Ddr1
ENSMUSG00000065468	2	2	3	1	0	1	Mir26b
ENSMUSG00000003824	118	111	101	73	138	113	Syce2
ENSMUSG00000003531	607	454	592	280	437	410	Dgcr6
ENSMUSG00000030339	1627	1023	1403	804	1435	1339	Ltbr
ENSMUSG00000081640	77	121	113	251	233	118	Rplp0-ps1
ENSMUSG00000062078	4593	3672	3085	3038	4726	3078	Qk
ENSMUSG00000067597	1076	2277	1164	1163	1195	489	Dgat2l6
ENSMUSG00000085084	7	12	9	9	8	9	4930570G19Rik
ENSMUSG00000062075	861	608	677	438	721	631	Lmnb2
ENSMUSG00000033740	1	0	1	6	0	1	St18
ENSMUSG00000030337	772	644	474	452	660	335	Vamp1
ENSMUSG00000030336	40	31	21	29	37	18	Cd27
ENSMUSG00000030335	1794	1242	1471	1044	1414	1328	Mrpl51
ENSMUSG00000062070	4115	4883	2930	5582	6433	4525	Pgk1
ENSMUSG00000098559	4	0	5	1	0	2	Gm15013
ENSMUSG00000085551	0	0	0	0	0	1	1810063I02Rik
ENSMUSG00000002781	683	366	550	210	380	383	Tmem143
ENSMUSG00000097260	0	0	1	0	0	0	Gm5706
ENSMUSG00000094852	1	0	1	0	0	0	Gm9034
ENSMUSG00000056569	5046	3877	3787	1395	2100	3122	Mpz
ENSMUSG00000051246	11	18	13	19	36	6	Msantd1
ENSMUSG00000056564	0	0	1	2	1	0	Olfr324
ENSMUSG00000029130	30	48	31	19	51	17	Rnf32
ENSMUSG00000056290	14	8	4	12	44	26	Ms4a4b
ENSMUSG00000051243	165	177	163	70	76	106	Islr2
ENSMUSG00000091825	0	1	1	0	0	0	Gm5778
ENSMUSG00000008845	690	1107	647	743	1034	655	Cd163
ENSMUSG00000066440	1009	1000	900	874	1378	879	Zfyve26
ENSMUSG00000031688	0	0	1	0	0	0	Pou4f2
ENSMUSG00000029009	1143	843	844	778	1187	768	Mthfr
ENSMUSG00000025437	1014	1249	973	1236	2000	954	Usp33
ENSMUSG00000031684	583	542	412	512	680	562	Slc10a7
ENSMUSG00000030030	36	36	41	27	48	44	1700003E16Rik
ENSMUSG00000022053	153	156	134	71	100	119	Ebf2
ENSMUSG00000022052	2921	2200	1884	2407	4127	2321	Ppp2r2a
ENSMUSG00000029003	321	212	288	124	223	237	Mad2l2
ENSMUSG00000022054	3	1	4	0	2	2	Nefm
ENSMUSG00000029001	175	119	117	84	157	96	Fbxo44
ENSMUSG00000022056	0	0	0	1	0	1	Adam7
ENSMUSG00000089417	31	34	49	47	23	46	Gm22009
